note,index,width,length,nw_node,sw_node,ne_node,se_node
A#2,1,2.26,18.1875,2.81,2.98,3.09,2.95
C#3,4,2.26,17.25,2.74,2.94,3.03,2.9
D#3,6,2.26,16.875,2.7,2.92,3.04,2.88
F#3,9,2.02,16,2.71,2.87,2.97,2.82
G#3,11,2.02,15.625,2.65,2.82,2.92,2.78
A#3,13,2.02,15.1875,2.66,2.79,2.93,2.75
C#4,16,1.91,14.375,2.6,2.78,2.85,2.75
D#4,18,1.91,14,2.58,2.75,2.83,2.71
F#4,21,1.76,13.25,2.55,2.72,2.78,2.69
G#4,23,1.76,12.875,2.54,2.7,2.78,2.64
A#4,25,1.76,12.5625,2.51,2.66,2.76,2.62
C#5,28,1.76,11.8125,2.45,2.58,2.7,2.54
D#5,30,1.76,11.5,2.36,2.52,2.6,2.5
F#5,33,1.6,10.75,2.26,2.37,2.46,2.37
G#5,35,1.6,10.4375,2.21,2.33,2.41,2.31
A#5,37,1.6,10.125,2.14,2.24,2.35,2.22
C#6,40,1.6,9.4375,2.04,2.13,2.23,2.12
D#6,42,1.6,9.1875,1.97,2.09,2.17,2.07
F#6,45,1.48,8.5,1.86,1.95,2.03,1.93
G#6,47,1.48,8.1875,1.82,1.9,2,1.88
A#6,49,1.48,7.875,1.76,1.81,1.94,1.79
