note,index,width,length,nw_node,sw_node,ne_node,se_node
A2,0,2.25,18.375,2.96,2.85,2.97,3.11
B2,2,2.25,17.9375,2.95,2.8,2.95,3.07
C3,3,2.25,17.5,2.92,2.8,2.92,3.06
D3,5,2.25,17.125,2.9,2.76,2.9,3.01
E3,7,2.25,16.625,2.9,2.75,2.9,3
F3,8,2.25,16.25,2.84,2.76,2.84,3
G3,10,2.02,15.75,2.82,2.72,2.83,2.94
A3,12,2.02,15.375,2.8,2.69,2.8,2.9
B3,14,2.02,15,2.8,2.67,2.8,2.9
C4,15,2.02,14.5625,2.77,2.64,2.77,2.87
D4,17,1.91,14.1875,2.75,2.62,2.75,2.82
E4,19,1.9,13.8125,2.73,2.58,2.73,2.78
F4,20,1.91,13.4375,2.71,2.55,2.71,2.75
G4,22,1.75,13.0625,2.68,2.58,2.68,2.78
A4,24,1.75,12.6875,2.67,2.55,2.67,2.72
B4,26,1.75,12.375,2.63,2.53,2.63,2.73
C5,27,1.75,12,2.61,2.49,2.61,2.67
D5,29,1.75,11.625,2.53,2.45,2.54,2.62
E5,31,1.75,11.3125,2.47,2.38,2.47,2.55
F5,32,1.75,10.9375,2.38,2.3,2.4,2.48
G5,34,1.6,10.625,2.35,2.25,2.35,2.45
A5,36,1.6,10.375,2.29,2.21,2.29,2.4
B5,38,1.6,10,2.2,2.15,2.2,2.32
C6,39,1.6,9.625,2.18,2.05,2.18,2.24
D6,41,1.6,9.375,2.1,2.02,2.1,2.21
E6,43,1.6,9,2.02,1.96,2.02,2.15
F6,44,1.6,8.625,1.97,1.91,1.97,2.1
G6,46,1.48,8.375,1.9,1.84,1.9,2.03
A6,48,1.48,8,1.85,1.77,1.85,1.95
B6,50,1.48,7.75,1.77,1.73,1.77,1.9
C7,51,1.48,7.375,1.73,1.67,1.73,1.85
