A2,2.25,0,12.3125,18.375,0
B2,2.25,2.55,11.875,17.9375,2
C3,2.25,5.1,11.5,17.5,3
D3,2.25,7.65,11.125,17.125,5
E3,2.25,10.2,10.75,16.625,7
F3,2.25 ,12.75,10.375,16.25,8
G3,2.02,15.3,10,15.75,10
A3,2.02,17.62,9.625,15.375,12
B3,2.02,19.94,9.1875,15,14
C4,2.02,22.26,9,14.5625,15
D4,1.91,24.58,8.5625,14.1875,17
E4,1.9,26.79,8.25,13.8125,19
F4,1.91,28.99,7.875,13.4375,20
G4,1.75,31.2,7.625,13.0625,22
A4,1.75,33.25,7.25,12.6875,24
B4,1.75,35.3,7,12.375,26
C5,1.75,37.35,6.75,12,27
D5,1.75,39.4,6.5,11.625,29
E5,1.75,41.45,6.3125,11.3125,31
F5,1.75,43.5,6.25,10.9375,32
G5,1.6,45.55,5.875,10.625,34
A5,1.6,47.45,5.625,10.375,36
B5,1.6,49.35,5.4375,10,38
C6,1.6,51.25,5.25,9.625,39
D6,1.6,53.15,5,9.375,41
E6,1.6,55.05,4.75,9,43
F6,1.6,56.95,4.625,8.625,44
G6,1.48,58.85,4.375,8.375,46
A6,1.48,60.63,4.25,8,48
B6,1.48,62.41,4,7.75,50
C7,1.48,64.19,3.875,7.375,51
